timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,position
3414708608,-17,-3,0,-10,-9,-14,-18,-5,1
3414708608,4,-4,-4,3,1,11,-21,52,1
3414720635,-5,2,2,-4,-2,0,21,-49,1
3414720635,-5,4,1,-4,-5,-30,-22,-12,1
3414729605,15,0,-4,8,6,45,25,4,1
3414729605,7,1,-4,3,3,0,11,-12,1
3414744431,-14,-3,1,-2,2,-4,-11,3,1
3414744431,-7,-1,1,-5,-6,-42,-21,-6,1
3414747381,-5,2,0,-1,-4,-20,-10,-8,1
3414747381,1,-9,7,-8,-5,-15,10,-34,1
3414766940,16,-2,4,-3,-2,-3,-23,5,1
3414766940,7,4,-2,2,-1,-9,25,1,1
3414768543,2,-3,-1,1,0,-10,28,10,1
3414768543,-6,2,-1,-1,4,25,-31,-10,1
3414780733,3,-5,-1,1,-3,-13,42,-3,1
3414780733,16,9,0,-3,1,7,-97,15,1
3414789671,-6,-4,0,-2,2,31,-5,2,1
3414789671,4,2,-3,2,1,-25,5,21,1
3414804487,-6,0,4,-1,-1,4,-1,-7,1
3414804487,1,-1,2,-4,-4,-23,15,-14,1
3414806145,4,-1,0,1,-2,-4,-24,-7,1
3414806145,-1,-2,3,-2,-2,-16,-31,4,1
3414826934,-8,0,-4,0,2,4,1,-10,1
3414826934,-6,-1,0,1,-3,37,20,-25,1
3414828527,-7,1,0,-4,-5,-12,-38,-41,1
3414828527,-1,-1,-1,1,-1,-10,3,7,1
3414840640,-2,0,-9,3,4,-14,20,9,1
3414840640,-7,0,3,1,1,1,-15,9,1
3414849605,1,1,1,-2,-1,-5,9,-7,1
3414849605,-2,1,-2,1,1,1,-4,-13,1
3414864623,-5,-2,-2,-4,-3,-9,-23,2,1
3414864623,0,-1,-3,-3,-2,20,-4,-21,1
3414866061,-4,-3,-3,-4,-4,7,13,9,1
3414866061,2,1,1,5,-1,-6,44,3,1
3414886930,2,-1,-1,1,0,-1,-33,-11,1
3414886930,-2,1,0,0,-3,-39,27,-3,1
3414888607,-3,1,0,4,0,47,-17,12,1
3414888607,-7,-1,2,0,2,31,6,-2,1
3414900680,2,0,1,-3,-1,1,19,-1,1
3414900680,1,0,-1,2,-1,-2,16,9,1
3414909598,-3,-5,-2,1,-2,-42,-2,1,1
3414909598,-4,-3,1,-5,-2,9,-33,-5,1
3414924429,-9,1,1,-2,-1,18,6,-20,1
3414924429,-10,-9,1,-8,-8,-32,-12,30,1
3414926043,6,4,0,6,5,14,83,-27,1
3414926043,-3,-2,-5,0,-2,-12,-13,0,1
3414946983,3,2,0,-2,-8,-23,-14,34,1
3414946983,-11,-1,2,-3,4,-11,-11,-44,1
3414948609,-4,0,-1,-2,-3,5,-43,4,1
3414948609,4,0,0,-1,-3,-28,2,3,1
3414960550,11,-1,-2,3,1,-18,-13,19,1
3414960550,-3,-1,-4,1,-1,31,75,5,1
3414969647,3,2,1,-2,0,-27,-25,-41,1
3414969647,13,1,0,0,1,11,5,35,1
3414984462,-6,-2,-4,-5,-7,-20,-11,18,1
3414984462,3,-3,3,0,0,-13,0,-10,1
3414986066,-2,-3,0,-3,0,31,22,-44,1
3414986066,16,6,2,1,0,14,4,23,1
3415006990,0,-2,-1,4,2,3,24,7,1
3415006990,1,1,0,-3,-4,9,-10,-4,1
3415008726,-5,-1,-3,1,1,6,4,21,1
3415008726,-6,-2,-2,0,2,-1,-54,-30,1
3415020675,1,-1,3,-6,-1,29,11,-11,1
3415020675,8,3,2,2,1,6,-11,25,1
3415029596,-7,-10,0,-3,-6,-14,-37,15,1
3415029596,-8,1,3,-3,-1,-33,-10,-19,1
3415044438,17,0,-4,6,7,84,7,28,1
3415044438,-8,-3,-3,-8,-6,-26,-1,-21,1
3415046148,2,6,-1,0,1,-21,-3,16,1
3415046148,-12,-3,3,-5,-6,-4,13,-9,1
3415066964,2,0,-1,10,11,21,6,-9,1
3415066964,8,0,-2,-1,-4,-6,2,24,1
3415068577,14,1,-6,3,4,28,-17,6,1
3415068577,-2,1,-5,4,4,-4,8,-9,1
3415089527,-18,0,1,-3,-3,-27,9,-27,1
3415089527,14,-1,-1,4,6,36,-22,-50,1
3415091113,6,2,0,-1,1,-15,24,73,1
3415091113,-4,-3,-3,0,-4,17,-1,-2,1
3415104727,-4,-6,-3,-4,-9,-64,-2,-23,1
